log MSE loss (train set)	log MSE loss (val set)	log MSE loss (test set)	
-4.7988e+00	-4.7952e+00	-4.2717e+00	
-5.8876e+00	-5.8027e+00	-5.0907e+00	
-6.0140e+00	-5.6996e+00	-5.1984e+00	
-6.1011e+00	-5.7639e+00	-5.1888e+00	
-6.2253e+00	-5.6778e+00	-5.1041e+00	
-6.2537e+00	-5.6532e+00	-5.1070e+00	
-6.2424e+00	-5.6646e+00	-5.1392e+00	
-6.3261e+00	-6.1346e+00	-5.0662e+00	
-6.1327e+00	-6.2995e+00	-4.8481e+00	
-6.0231e+00	-5.9988e+00	-4.8734e+00	
-6.0282e+00	-5.9930e+00	-4.8409e+00	
-6.0483e+00	-5.8235e+00	-4.8554e+00	
-6.0186e+00	-5.7405e+00	-5.0177e+00	
